flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
N54DD,9,34.4472,-118.013,24950,460,600.0,-0.8333975161109415,0.5526740270178372,11.125,634.3651240000382,0.5216999999999956,-0.9669999999999987,6675
N550ML,4,34.6142,-118.387,30425,371,600.0,-0.8260459612999601,0.5636027588825526,10.083333333333334,569.6554199895182,0.47820000000000107,-0.8619999999999948,6050
N566VR,6,34.5896,-117.589,31250,460,600.0,-0.8626540212358975,0.5057944638344073,10.458333333333334,665.7328329555531,0.5001999999999995,-1.0520000000000067,6275
N566VR,8,35.0321,-118.539,28325,458,600.0,0.7848483704865488,-0.6196878531523827,-11.416666666666666,693.1142578078133,-0.6477999999999966,0.9879999999999995,-6850
N5699K,4,34.6247,-118.086,6975,460,600.0,-0.11011352123315865,0.9939190170439616,0.125,19.93621123994871,0.02970000000000539,-0.0040000000000048885,75
N5699K,15,34.6696,-118.113,5925,460,600.0,0.7653874971808782,-0.6435697158499545,0.041666666666666664,114.85833407307217,-0.11090000000000089,0.1599999999999966,25
N628SR,7,34.5399,-117.824,28900,279,600.0,-0.8295003540598622,0.5585061885194855,-0.125,344.64200761599676,0.2873999999999981,-0.5220000000000056,-75
N6313C,1,34.6459,-118.345,5500,460,600.0,0.6423002501317379,-0.7664531222982309,0.75,65.00310632547155,-0.07469999999999999,0.0759999999999934,450
N6626J,0,34.7121,-118.173,4950,460,600.0,0.6584195608447316,-0.7526511023688405,1.7083333333333333,85.05921636525643,-0.09599999999999653,0.10200000000000387,1025
N6626J,0,34.6161,-118.071,5975,460,600.0,0.4391677870581291,0.8984050616567484,0.0,7.500526018972891,0.010099999999994225,0.006000000000000227,0
N6626J,3,34.6237,-118.048,6500,460,600.0,-0.848502525932672,-0.52919132975312,-0.08333333333333333,9.706495192506608,-0.007699999999999818,-0.015000000000000568,-50
N6626J,4,34.681,-118.147,5525,460,600.0,0.7791851489436352,-0.6267938286754944,0.08333333333333333,46.496056045851645,-0.04369999999999408,0.0660000000000025,50
N68961,5,34.6918,-118.318,4950,460,600.0,0.9994139631644359,0.03423054530613806,0.625,160.8078726146929,0.007899999999999352,0.29299999999999216,375
N7178Q,0,34.6368,-118.351,6950,460,600.0,0.9961619945668849,-0.08752874145402459,0.0,15.980651219800276,-0.0020999999999986585,0.028999999999996362,0
N7178Q,0,34.6347,-118.322,6950,460,600.0,0.9871449559554083,-0.159827519319406,0.041666666666666664,15.015096430508414,-0.0035999999999987153,0.027000000000001023,25
N7178Q,0,34.6311,-118.295,6975,460,600.0,0.9879208412481636,-0.1549593863808214,-0.16666666666666666,13.336768580057072,-0.0031000000000034333,0.02400000000000091,-100
N7178Q,0,34.628,-118.271,6875,460,600.0,0.9974471523295048,-0.07140853107130661,0.08333333333333333,24.21797920797885,-0.002600000000001046,0.04399999999999693,50
N7178Q,0,34.6254,-118.227,6925,460,600.0,0.7738496140175058,-0.6333693826551432,0.0,13.48152881572834,-0.01279999999999859,0.019000000000005457,0
N7178Q,0,34.6126,-118.208,6925,460,600.0,-0.9733343743777727,-0.22939092321761503,-0.041666666666666664,19.181982240763826,-0.006599999999998829,-0.034000000000006025,-25
N7178Q,0,34.606,-118.242,6900,460,600.0,-0.39651942505700705,0.9180263316226069,0.0,30.45198229432753,0.04189999999999827,-0.02199999999999136,0
N7178Q,0,34.6479,-118.264,6900,460,600.0,-0.8441765396161212,-0.536065266513091,0.16666666666666666,28.615223786028782,-0.02300000000000324,-0.04400000000001114,100
N7178Q,0,34.6249,-118.308,7000,460,600.0,0.7221792929877612,-0.6917059120606801,0.041666666666666664,26.61614487634983,-0.027599999999999625,0.0350000000000108,25
N721MT,7,34.4938,-118.28,13675,460,600.0,0.9463965282844151,0.3230071380808887,6.291666666666667,351.9600219382054,0.16890000000000072,0.6069999999999993,3775
N753AW,2,34.8918,-118.396,17650,315,600.0,0.8312414588832788,-0.5559115370574694,0.0,528.1658562383777,-0.4427000000000021,0.7980000000000018,0
