flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
HAL7,7,34.6575,-117.826,38475,525,600.0,-0.9693980707687976,-0.24549415551033665,0.08333333333333333,752.076580456222,-0.2838999999999956,-1.3240000000000123,50
HGT5214,13,34.5752,-117.873,37125,513,600.0,-0.8785524140108085,0.4776459523912884,0.0,691.1763190787188,0.48979999999999535,-1.1119999999999948,0
N107PT,9,34.4748,-117.577,45850,338,600.0,-0.8397278549819646,0.5430074857378936,0.5,565.3821756607131,0.45709999999999695,-0.867999999999995,300
N1643H,8,34.5273,-117.916,8475,460,600.0,-0.9746785726554986,-0.22361055432657906,0.0,169.8598139450877,-0.05729999999999791,-0.30100000000000193,0
N17VA,0,34.8767,-118.419,19050,460,600.0,0.8225111676421032,-0.5687489596509377,-1.6666666666666667,484.87319941763735,-0.41550000000000153,0.7249999999999943,-1000
N212BW,0,34.6794,-118.093,6375,198,600.0,-0.2212877767642068,0.9752085519799109,0.0,61.915522689683925,0.09049999999999869,-0.024999999999991473,0
N212BW,2,34.6666,-117.88,6450,212,600.0,-0.9394591479047509,0.3426609248485729,-0.041666666666666664,114.40099025224211,0.05859999999999843,-0.19599999999999795,-25
N212BW,3,34.6904,-117.972,6425,200,600.0,-0.954809810669301,0.2972174716426568,0.0,46.52581335729185,0.020700000000005048,-0.08100000000000307,0
N212BW,3,34.7111,-118.053,6425,460,600.0,-0.9997250660922982,0.023447648640112537,-0.041666666666666664,82.28519064527971,0.00280000000000058,-0.15000000000000568,-25
N212BW,3,34.7139,-118.203,6400,198,600.0,0.9861051081158728,0.16612259252667208,-0.041666666666666664,118.41679582240334,0.029299999999999216,0.21300000000000807,-25
N212BW,4,34.718,-117.988,9400,200,600.0,-0.9783843566679247,0.2067947064784086,0.0,101.4130879245689,0.031299999999994554,-0.18099999999999739,0
N212BW,4,34.7493,-118.169,9400,212,600.0,0.782963535922405,0.6220676019661247,0.0,13.300623291151872,0.012399999999999523,0.018999999999991246,0
N212BW,5,34.818,-118.137,6350,216,600.0,0.04035612073027666,-0.9991853599405884,-3.2916666666666665,149.70103728264186,-0.22419999999999618,0.01099999999999568,-1975
N212BW,5,34.5938,-118.126,4375,177,600.0,0.9804360102625713,-0.1968380801075117,0.0,14.565218258424148,-0.004300000000000637,0.02600000000001046,0
N212BW,5,34.5895,-118.1,4375,460,600.0,0.9991008276163232,0.04239736143179088,0.0,42.87795209327165,0.00269999999999726,0.07799999999998875,0
N212BW,5,34.5922,-118.022,4375,180,600.0,-0.903502331506655,0.42858317391381384,0.0,30.994570105815587,0.019899999999999807,-0.05099999999998772,0
N212BW,5,34.6121,-118.073,4375,460,600.0,-0.8994037037835737,-0.43711895133978085,0.0,0.6105091104704937,-0.00039999999999906777,-0.0010000000000047748,0
N212BW,5,34.6117,-118.074,4375,182,600.0,-0.9993052251470969,-0.03727018907532092,0.0,39.01382072176026,-0.002200000000001978,-0.07099999999999795,0
N212BW,5,34.6095,-118.145,4375,180,600.0,0.9774477978554149,0.2111771826396024,0.0,5.055904895538939,0.0016000000000033765,0.009000000000000341,0
N212BW,5,34.6111,-118.136,4375,182,600.0,0.9991735958601146,0.0406463446815131,0.0,19.78359554667523,0.0011999999999972033,0.036000000000001364,0
N212BW,5,34.6123,-118.1,4375,182,600.0,-0.8495434410066984,-0.5275186649233354,0.0,28.446472658102838,-0.022500000000000853,-0.04400000000001114,0
N212BW,5,34.5898,-118.144,4375,460,600.0,0.6269037829251779,0.7790966865249148,0.0,19.269279672927468,0.022500000000000853,0.02200000000000557,0
N212BW,7,34.6759,-118.104,4100,205,600.0,0.18251415259858603,-0.9832032262463443,-0.375,60.18781102092578,-0.08869999999999578,0.01999999999999602,-225
N212BW,7,34.5872,-118.084,3875,460,600.0,0.8339405523775997,0.5518542879240351,0.0,29.62949438675194,0.02449999999999619,0.045000000000001705,0
N212BW,7,34.6117,-118.039,3875,460,600.0,-0.9999906588998283,-0.00432228100512861,0.0,29.10233084096678,-0.00019999999999953388,-0.05299999999999727,0
N2468Y,0,34.6566,-118.372,7425,460,600.0,0.95247132944176,0.30462824325962656,-0.08333333333333333,196.8412120966294,0.08940000000000481,0.34199999999999875,-50
N2468Y,0,34.746,-118.03,7375,143,600.0,-0.9998354147698487,-0.018142308893977607,0.08333333333333333,137.6284692726117,-0.0040000000000048885,-0.2510000000000048,50
N2468Y,0,34.742,-118.281,7425,460,600.0,0.9999969095112026,0.002486155273437722,0.0,30.152755694210697,0.00010000000000331966,0.05500000000000682,0
N2468Y,0,34.7421,-118.226,7425,460,600.0,-0.3837573848469006,-0.9234339551778826,0.041666666666666664,12.860039684023354,-0.017800000000001148,-0.009000000000000341,25
N2468Y,0,34.7243,-118.235,7450,115,600.0,-0.362876349201952,0.9318373008148273,-0.041666666666666664,15.107304955955486,0.02109999999999701,-0.010000000000005116,-25
N2468Y,0,34.7454,-118.245,7425,115,600.0,0.5651215574156782,-0.8250076516882,0.041666666666666664,19.40706693160538,-0.023999999999993804,0.020000000000010232,25
N2468Y,2,34.5893,-118.06,7650,460,600.0,0.9502745557074644,0.3114133407145253,-0.041666666666666664,34.09445178663329,0.015900000000002024,0.0589999999999975,-25
N2468Y,3,34.4825,-118.045,8900,184,600.0,-0.7253653155984916,0.6883641179831359,-2.0416666666666665,98.4415236513669,0.10150000000000148,-0.12999999999999545,-1225
N2468Y,4,34.6891,-118.329,7850,154,600.0,0.9275383702573872,-0.3737279380783168,-0.4166666666666667,200.17743632662356,-0.11260000000000048,0.33799999999999386,-250
N2468Y,6,34.6292,-118.131,7575,460,600.0,-0.941757116839625,0.3362938192740344,-0.041666666666666664,9.326349978611955,0.004699999999999704,-0.016000000000005343,-25
N2468Y,6,34.6339,-118.147,7550,147,600.0,-0.9969240265257259,0.07837400931261534,0.041666666666666664,40.19451459769448,0.004699999999999704,-0.07299999999999329,25
N2468Y,6,34.6386,-118.22,7575,460,600.0,0.9990944414527513,0.04254758580947851,-0.041666666666666664,86.2522996722441,0.005400000000001626,0.15699999999999648,-25
N2468Y,6,34.644,-118.063,7550,152,600.0,-0.9998501482120853,-0.017311300363376133,-0.041666666666666664,136.69783622996167,-0.0037999999999982492,-0.24899999999999523,-25
N2468Y,6,34.6402,-118.312,7525,460,600.0,0.9985603873965916,0.05363909695706086,0.041666666666666664,190.16081925006836,0.014800000000001035,0.34600000000000364,25
N2468Y,7,34.661,-118.12,7525,460,600.0,0.0,1.0,-0.041666666666666664,3.9363004032147573,0.005899999999996908,0.0,-25
N2468Y,7,34.6669,-118.12,7500,152,600.0,-0.9994133437268724,0.03424862596765712,-0.08333333333333333,93.88233332652332,0.004699999999999704,-0.17099999999999227,-50
N2468Y,8,34.7025,-118.073,7450,152,600.0,-0.9978787728177998,0.06509957572551432,0.0,120.90789658916731,0.011600000000001387,-0.22000000000001307,0
N2468Y,8,34.7141,-118.293,7450,460,600.0,0.99925162615008,0.03868058474765824,0.0,109.75704279610713,0.006199999999999761,0.20000000000000284,0
N2468Y,9,34.7381,-118.162,7400,460,600.0,-0.8942460801584933,-0.447575633967232,-0.7083333333333334,36.79662452052086,-0.02470000000000283,-0.05999999999998806,-425
